DiseaseName	Hit_Minimum_HPO	Hit_Minimum_HPO_Freq	Enrich_ObservedHPO_pvalue_Bonf	Enrich_GeneHPO_pvalue_Bonf	Enrich_observeHPO_score	Enrich_GeneHPO_score	Score_max	Score_total	HPO_geneImpact_group	VarFreq_Group	Population_Freq	Effect_Impact	Disease_Inheritance	Genotype	Pathogenic_Gene	Amino_Change	Effect	VarFreq	Clinvar_latest_evidence	Interaction_variantGenes	Disease_AncestorHPO_Count	Query_observedAncestorHPO_Count	Hit_observedHPO_Count	Query_Ancestor_GeneHPO_Count	Hit_GeneHPO_Count	Enrich_ObservedHPO_pvalue	Enrich_GeneHPO_pvalue	Hit_observedHPO	Hit_geneHPO	Hit_observedAncestorHPO	Hit_geneAncestorHPO
OMIM:616216	HP:0000421	0.00861917326297273	2.543158059573445e-25	1.0	24.594626647190648	0.0	24.594626647190648	24.594626647190648	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	39	39	15	1	0	4.4734530511406246e-29	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:616913	HP:0000421	0.00861917326297273	2.8233811712819557e-25	1.0	24.54923048585964	0.0	24.54923048585964	24.54923048585964	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	29	39	14	1	0	4.966369694427363e-29	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:613554	HP:0000421	0.00861917326297273	2.9491983629395952e-24	1.0	23.530296015839905	0.0	23.530296015839905	23.530296015839905	1	0	1.0	NA	dominant;recessive	NA	NA	NA	NA	0.0	NA	NA	33	39	14	1	0	5.187684015724882e-28	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:601399	HP:0000421	0.00861917326297273	3.936237318911845e-24	1.0	23.404918725487946	0.0	23.404918725487946	23.404918725487946	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	60	39	16	1	0	6.923900297118461e-28	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0002715;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:616176	HP:0000421	0.00861917326297273	5.000325607233692e-24	1.0	23.301001714699847	0.0	23.301001714699847	23.301001714699847	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	34	39	14	1	0	8.795647506127865e-28	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:313900	HP:0000421	0.00861917326297273	5.3226086751576665e-24	1.0	23.273875462526657	0.0	23.273875462526657	23.273875462526657	1	0	1.0	NA	X-linked recessive	NA	NA	NA	NA	0.0	NA	NA	61	39	16	1	0	9.362548241262386e-28	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001939;HP:0002715;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:615193	HP:0000421	0.00861917326297273	7.636489014025245e-24	1.0	23.11710626868949	0.0	23.11710626868949	23.11710626868949	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	18	39	12	1	0	1.3432698353606412e-27	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:155100	HP:0000421	0.00861917326297273	6.099457987622575e-23	1.0	22.214708755717613	0.0	22.214708755717613	22.214708755717613	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	53	39	15	1	0	1.0729037797049384e-26	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0002715;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:601709	HP:0000421	0.00861917326297273	1.242564737780427e-22	1.0	21.905680975207595	0.0	21.905680975207595	21.905680975207595	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	41	39	14	1	0	2.1856899521203641e-26	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:187900	HP:0000421	0.00861917326297273	1.5739113045094371e-22	1.0	21.803019745323503	0.0	21.803019745323503	21.803019745323503	1	0	1.0	NA	dominant;recessive	NA	NA	NA	NA	0.0	NA	NA	56	39	15	1	0	2.768533517166996e-26	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
